,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
12012,64642019,225000.0,3.0,2168.0,3,5.0,2,15,1,-97.8366241455078,1,78748,1.98,2019-06-28,6,2019
12014,80093848,275000.0,3.0,1590.0,3,5.666666666666668,2,17,1,-97.84415435791016,1,78748,1.98,2019-03-01,3,2019
12015,70332518,375000.0,3.0,2443.0,4,5.0,2,15,1,-97.8387451171875,1,78748,1.98,2019-12-18,12,2019
12017,89549813,319900.0,3.0,2163.0,3,5.0,2,15,1,-97.8240203857422,1,78748,1.98,2019-05-30,5,2019
12018,62576847,257500.0,3.0,1422.0,3,5.666666666666668,2,17,1,-97.83624267578124,1,78748,1.98,2019-02-20,2,2019
12025,29514302,267000.0,3.0,1422.0,3,3.6666666666666665,2,15,1,-97.82971954345705,1,78748,1.98,2019-09-13,9,2019
12027,70335331,235000.0,2.0,1124.0,2,5.666666666666668,1,17,1,-97.84188842773438,1,78748,1.98,2019-01-02,1,2019
12031,58317330,149983.0,2.0,1279.0,3,3.6666666666666665,1,15,1,-97.83157348632812,1,78748,1.98,2019-10-30,10,2019
12034,70335763,229000.0,2.0,1025.0,3,3.6666666666666665,1,15,1,-97.82735443115234,1,78748,1.98,2019-05-20,5,2019
12036,29514259,250000.0,2.0,1271.0,3,3.6666666666666665,1,15,1,-97.82876586914062,1,78748,1.98,2019-01-14,1,2019
12040,29509663,400000.0,2.0,1717.0,4,5.666666666666668,1,16,1,-97.82664489746094,1,78748,1.98,2019-09-03,9,2019
12057,29513304,212500.0,2.0,1120.0,3,4.666666666666667,1,15,1,-97.83646392822266,1,78748,1.98,2019-06-10,6,2019
12059,89548303,254000.0,3.0,1871.0,3,3.6666666666666665,2,15,1,-97.83223724365234,1,78748,1.98,2019-05-17,5,2019
12060,80091295,270000.0,3.0,1455.0,3,5.666666666666668,2,17,1,-97.84576416015624,1,78748,1.98,2019-01-19,1,2019
12062,29514292,270000.0,3.0,1590.0,3,3.6666666666666665,2,15,1,-97.83153533935548,1,78748,1.98,2019-11-01,11,2019
12063,111373199,279000.0,3.0,1720.0,3,5.0,2,15,1,-97.82686614990234,1,78748,1.98,2019-07-26,7,2019
12066,79981115,430000.0,6.0,3160.0,6,5.0,2,15,1,-97.82940673828124,1,78748,1.98,2019-11-15,11,2019
12067,29513290,325000.0,3.0,2174.0,4,4.666666666666667,2,15,1,-97.83914184570312,1,78748,1.98,2019-10-16,10,2019
12070,89549485,265000.0,2.0,1264.0,3,3.333333333333333,1,14,1,-97.8193817138672,1,78748,1.98,2019-08-02,8,2019
12077,58317184,219000.0,2.0,1430.0,4,5.0,2,15,1,-97.8255386352539,1,78748,1.98,2019-08-09,8,2019
12079,70346279,245000.0,2.0,1363.0,3,5.0,1,15,1,-97.83557891845705,1,78748,1.98,2019-05-14,5,2019
12083,2108953678,299900.0,3.0,2163.0,3,5.0,2,15,1,-97.82648468017578,1,78748,1.98,2019-11-19,11,2019
12085,119628565,350000.0,3.0,2484.0,4,3.333333333333333,2,14,1,-97.81944274902344,1,78748,1.98,2019-06-24,6,2019
12090,249911674,266000.0,2.0,1102.0,3,3.333333333333333,1,14,1,-97.81721496582033,1,78748,1.98,2019-08-29,8,2019
12091,64894268,179999.0,3.0,2409.0,3,4.666666666666667,2,15,1,-97.8438949584961,1,78748,1.98,2019-03-05,3,2019
12094,58317166,219500.0,1.0,1105.0,2,5.0,2,15,1,-97.82546997070312,1,78748,1.98,2019-01-12,1,2019
12102,29509982,410000.0,2.0,1503.0,3,5.0,1,15,1,-97.8311767578125,1,78748,1.98,2019-05-24,5,2019
12103,70332751,359987.0,2.0,2185.0,3,5.0,1,15,1,-97.84162902832033,1,78748,1.98,2019-10-02,10,2019
12104,29514148,525000.0,2.0,2356.0,3,3.333333333333333,1,14,1,-97.82264709472656,1,78748,1.98,2019-01-11,1,2019
12106,58317145,240000.0,2.0,1466.0,4,5.0,2,15,1,-97.82536315917967,1,78748,1.98,2019-04-30,4,2019
12109,29513246,172900.0,3.0,2041.0,4,3.6666666666666665,2,15,1,-97.83206939697266,1,78748,1.98,2019-07-30,7,2019
12110,58317133,239900.0,2.0,1290.0,3,5.0,2,15,1,-97.82640838623048,1,78748,1.98,2019-07-25,7,2019
12111,29513245,279000.0,3.0,1590.0,3,3.6666666666666665,2,15,1,-97.83209991455078,1,78748,1.98,2019-10-11,10,2019
12112,29513130,424900.0,3.0,2050.0,4,3.333333333333333,1,14,1,-97.82210540771484,1,78748,1.98,2019-02-01,2,2019
12115,29512130,149990.0,2.5,1501.0,3,3.333333333333333,2,14,1,-97.81690979003906,1,78748,1.98,2019-08-28,8,2019
12116,29514241,229900.0,2.0,1167.0,3,3.6666666666666665,1,15,1,-97.83218383789062,1,78748,1.98,2019-10-15,10,2019
12117,29513241,272500.0,3.0,1590.0,3,3.6666666666666665,2,15,1,-97.83244323730467,1,78748,1.98,2019-07-22,7,2019
12118,29512127,242500.0,2.0,1373.0,2,3.333333333333333,1,14,1,-97.81623840332033,1,78748,1.98,2019-01-26,1,2019
12119,58317117,244900.0,2.0,1430.0,4,5.0,2,15,1,-97.82746887207033,1,78748,1.98,2019-01-31,1,2019
12121,58187235,339000.0,3.0,3506.0,4,4.666666666666667,2,15,1,-97.83854675292967,1,78748,1.98,2019-03-19,3,2019
12122,80100607,246500.0,3.0,1438.0,3,5.0,2,15,1,-97.82540130615234,1,78748,1.98,2019-06-11,6,2019
12123,64458733,278000.0,3.0,1439.0,3,5.666666666666668,2,17,1,-97.83934020996094,1,78748,1.98,2019-03-13,3,2019
12126,29513232,284900.0,3.0,2102.0,4,4.666666666666667,2,15,1,-97.8350601196289,1,78748,1.98,2019-02-14,2,2019
12131,64893224,280000.0,3.0,1707.0,3,5.666666666666668,2,17,1,-97.83570098876952,1,78748,1.98,2019-08-30,8,2019
12132,29514224,295000.0,3.0,2359.0,4,4.666666666666667,2,15,1,-97.83596801757812,1,78748,1.98,2019-02-22,2,2019
12134,70332723,399000.0,3.0,2443.0,3,5.0,2,15,1,-97.83673095703124,1,78748,1.98,2019-05-28,5,2019
12135,70332721,362000.0,3.0,2240.0,4,5.0,2,15,1,-97.83639526367188,1,78748,1.98,2019-09-26,9,2019
12137,29513216,285000.0,2.0,1515.0,3,4.666666666666667,1,15,1,-97.8355941772461,1,78748,1.98,2019-07-15,7,2019
12139,29514207,394999.0,4.0,2617.0,4,4.666666666666667,2,15,1,-97.83616638183594,1,78748,1.98,2019-10-15,10,2019
12140,63839037,219900.0,2.0,1183.0,4,3.6666666666666665,1,15,1,-97.8274383544922,1,78748,1.98,2019-09-04,9,2019
12145,29513188,219000.0,2.0,1120.0,3,4.666666666666667,1,15,1,-97.83531951904295,1,78748,1.98,2019-05-21,5,2019
12146,83827684,275000.0,3.0,1707.0,3,5.666666666666668,2,17,1,-97.84334564208984,1,78748,1.98,2019-03-11,3,2019
12147,64709182,290000.0,3.0,1509.0,3,5.666666666666668,2,17,1,-97.84105682373048,1,78748,1.98,2019-04-22,4,2019
12149,29513167,244500.0,2.0,1271.0,3,3.6666666666666665,1,15,1,-97.83177947998048,1,78748,1.98,2019-08-30,8,2019
12157,60135610,299000.0,3.0,2409.0,3,4.666666666666667,2,15,1,-97.84134674072266,1,78748,1.98,2019-05-30,5,2019
12162,119615062,355000.0,3.0,2398.0,4,5.0,2,15,1,-97.8343505859375,1,78748,1.98,2019-05-28,5,2019
12163,64744561,245000.0,2.0,1167.0,3,5.666666666666668,1,17,1,-97.83898162841795,1,78748,1.98,2019-11-25,11,2019
12172,145656158,420000.0,3.0,2586.0,4,3.333333333333333,2,14,1,-97.81820678710938,1,78748,1.98,2019-10-30,10,2019
12174,58316656,264995.0,2.0,1371.0,3,3.333333333333333,1,14,1,-97.8164520263672,1,78748,1.98,2019-03-27,3,2019
12177,63838646,350000.0,2.0,1312.0,3,4.0,1,13,1,-97.8276596069336,1,78745,1.98,2019-10-15,10,2019
